基本每股收益(元)|2.1910|3.0820|2.9590|2.9030|2.7020|2.5370|2.2500|1.8820|1.8340
扣非每股收益(元)|1.8470|2.7740|2.8310|2.7510|2.4790|2.3510|2.0660|1.8570|1.8020
稀释每股收益(元)|--|--|--|--|--|--|--|--|1.8340
每股净资产(元)|21.3723|20.0599|19.2867|17.4069|15.8839|14.2999|12.4943|11.0958|9.2800
每股公积金(元)|4.7560|4.7352|4.6962|3.6104|3.5318|3.4453|3.8409|4.0693|3.8250
每股未分配利润(元)|10.7229|9.8513|8.9609|8.7790|7.8361|6.9008|6.0275|4.7144|3.5572
每股经营现金流(元)|3.9605|0.7682|2.0800|1.0319|2.3575|2.1118|1.8686|1.7769|1.8330
营业总收入(元)|8433亿|9022亿|8706亿|7564亿|6704亿|6300亿|5658亿|4810亿|4348亿
毛利润(元)|938亿|1102亿|1077亿|885亿|690亿|737亿|689亿|699亿|702亿
归属净利润(元)|256亿|360亿|344亿|320亿|298亿|280亿|248亿|208亿|202亿
扣非净利润(元)|216亿|324亿|329亿|303亿|273亿|259亿|228亿|205亿|167亿
营业总收入同比增长(%)|-6.53|3.62|15.10|12.82|6.42|11.35|17.64|10.62|18.89
归属净利润同比增长(%)|-28.90|4.65|7.51|7.43|6.51|12.78|19.53|2.62|23.38
扣非净利润同比增长(%)|-33.41|-1.54|8.53|10.97|5.46|13.77|10.29|22.94|5.57
营业总收入滚动环比增长(%)|3.76|-3.75|4.53|4.19|5.63|2.36|2.98|4.12|-6.00
归属净利润滚动环比增长(%)|-12.10|-3.83|2.56|1.22|3.36|2.79|9.66|-0.32|0.71
扣非净利润滚动环比增长(%)|-16.69|-5.73|2.45|5.25|2.43|-0.01|5.06|4.97|0.12
加权净资产收益率(%)|10.53|15.67|16.87|17.53|17.91|18.97|19.07|18.52|21.37
摊薄净资产收益率(%)|10.25|15.36|15.27|16.68|17.01|17.74|18.01|16.96|19.76
摊薄总资产收益率(%)|4.32|6.43|7.17|7.98|8.65|9.70|10.30|10.55|12.78
毛利率(%)|12.15|13.25|13.47|12.87|11.42|12.36|12.84|16.28|18.75
净利率(%)|4.27|5.45|5.49|5.89|6.06|6.10|6.32|7.01|8.08
实际税率(%)|13.84|10.93|13.17|12.93|12.52|10.40|14.24|16.51|16.75
预收款/营业收入|0.01|0.02|0.03|0.03|0.03|0.04|0.05|0.05|0.04
销售现金流/营业收入|0.84|1.12|1.12|1.19|1.14|1.18|1.19|1.24|1.20
经营现金流/营业收入|0.06|0.01|0.03|0.02|0.04|0.04|0.04|0.04|0.05
总资产周转率(次)|1.03|1.20|1.33|1.37|1.45|1.60|1.64|1.51|1.59
应收账款周转天数(天)|17.74|15.17|13.71|14.47|13.62|11.47|11.08|10.31|6.42
存货周转天数(天)|28.10|25.48|21.11|20.56|23.35|22.84|20.48|24.36|24.26
资产负债率(%)|64.58|63.63|62.39|60.20|58.78|55.41|56.71|54.29|58.22
流动负债/总负债(%)|84.38|83.19|86.61|83.67|85.69|86.98|87.93|90.80|87.60
流动比率|1.10|1.09|1.00|1.11|1.05|1.19|1.25|1.21|1.18
速动比率|0.99|0.95|0.87|0.99|0.90|0.99|1.08|1.05|1.00
