基本每股收益(元)|0.6500|1.0700|1.6500|0.9800|0.6600|0.5000|0.4100|0.1800|0.6900
扣非每股收益(元)|0.3800|0.9600|1.5700|0.9500|0.6200|0.4300|0.4800|0.1800|0.5900
稀释每股收益(元)|0.6400|1.0600|1.6100|0.9700|0.6600|0.5000|0.4100|0.1800|0.6900
每股净资产(元)|7.8038|7.4575|9.4783|6.7280|5.9973|5.4886|5.1683|4.8314|4.7400
每股公积金(元)|2.2177|2.1874|3.3932|1.3595|1.3906|1.3867|1.3832|1.3784|1.0772
每股未分配利润(元)|4.0594|3.8352|4.6006|3.9561|3.2426|2.8075|2.5314|2.2525|2.4676
每股经营现金流(元)|-0.0372|-0.1239|2.0701|0.8520|0.7897|0.1717|0.1520|0.1486|-0.0467
营业总收入(元)|597亿|724亿|716亿|494亿|294亿|224亿|188亿|130亿|110亿
毛利润(元)|27.3亿|110亿|138亿|83.4亿|36.8亿|26.4亿|20.4亿|7.12亿|4.68亿
归属净利润(元)|66.2亿|109亿|108亿|62.9亿|42.3亿|31.9亿|26.7亿|11.3亿|42.7亿
扣非净利润(元)|38.4亿|98.0亿|103亿|61.0亿|39.7亿|27.8亿|30.9亿|11.3亿|36.2亿
营业总收入同比增长(%)|-17.51|1.13|44.84|67.98|31.43|18.87|45.21|18.02|25.64
归属净利润同比增长(%)|-39.30|1.08|71.53|48.58|32.48|19.37|135.44|-73.46|-0.52
扣非净利润同比增长(%)|-60.82|-4.72|68.57|53.76|43.13|-9.99|172.94|-68.73|-5.09
营业总收入滚动环比增长(%)|-3.55|-1.45|7.36|10.18|14.50|1.57|12.41|8.08|7.95
归属净利润滚动环比增长(%)|-10.30|-6.69|11.87|-11.92|16.82|18.05|73.55|-67.68|19.43
扣非净利润滚动环比增长(%)|-22.32|-7.80|8.43|-16.05|39.77|-7.51|--|--|--
加权净资产收益率(%)|8.46|14.97|21.49|15.39|11.43|9.27|8.28|3.68|15.65
摊薄净资产收益率(%)|8.26|14.24|15.55|14.36|10.97|9.02|8.02|3.65|14.65
摊薄总资产收益率(%)|4.98|8.70|10.73|8.44|6.19|4.87|4.75|2.27|10.09
毛利率(%)|6.90|18.56|23.00|19.95|15.64|15.27|14.40|8.12|5.81
净利率(%)|11.33|15.31|15.21|12.74|13.62|13.08|13.52|8.27|37.95
实际税率(%)|-6.63|7.76|9.64|10.70|9.08|4.13|3.81|-6.48|-2.71
预收款/营业收入|--|--|0.02|0.03|0.04|0.02|0.02|0.03|0.03
销售现金流/营业收入|1.14|1.10|1.14|1.17|1.17|1.19|1.17|1.11|1.08
经营现金流/营业收入|-0.01|-0.02|0.21|0.11|0.17|0.05|0.05|0.07|-0.03
总资产周转率(次)|0.44|0.58|0.71|0.66|0.45|0.37|0.35|0.28|0.27
应收账款周转天数(天)|17.09|8.89|6.40|6.87|10.96|16.76|19.58|24.97|18.76
存货周转天数(天)|44.58|31.14|19.19|20.11|33.28|44.59|38.36|44.65|50.30
资产负债率(%)|39.99|41.02|41.13|45.38|41.28|42.05|41.06|35.18|32.03
流动负债/总负债(%)|75.67|74.72|74.69|65.29|67.32|77.26|76.21|51.05|42.05
流动比率|1.37|1.63|1.76|1.44|1.50|1.33|1.47|2.29|3.67
速动比率|1.20|1.47|1.66|1.34|1.40|1.20|1.35|2.13|3.41
