基本每股收益(元)|0.0600|-0.4200|0.2300|0.7200|0.5900|0.4100|0.7100|0.3800|0.4800
扣非每股收益(元)|-0.5200|-0.9900|-0.0500|0.5300|0.3800|0.2400|0.5800|0.3000|0.3500
稀释每股收益(元)|0.0600|-0.4200|0.2300|0.7200|0.5900|0.4100|0.7100|0.3800|0.4800
每股净资产(元)|6.8411|6.7904|7.3258|7.2857|5.7513|5.4479|5.3232|4.6455|4.4400
每股公积金(元)|2.7603|2.7592|2.8106|2.8152|0.8869|0.9976|1.0591|1.0117|1.0255
每股未分配利润(元)|2.1612|2.1077|2.5950|2.5652|2.8380|2.5093|2.4111|1.9347|1.7700
每股经营现金流(元)|0.1196|-1.8242|-3.5191|-0.1848|2.4215|1.2861|1.9285|2.3236|-0.5652
营业总收入(元)|474亿|502亿|492亿|525亿|464亿|389亿|336亿|291亿|310亿
毛利润(元)|44.9亿|37.8亿|49.1亿|40.1亿|43.2亿|47.4亿|47.4亿|36.5亿|33.8亿
归属净利润(元)|1.06亿|-7.86亿|4.32亿|11.6亿|8.58亿|5.52亿|9.17亿|4.95亿|6.21亿
扣非净利润(元)|-9.78亿|-18.8亿|-9314万|8.44亿|5.29亿|3.03亿|7.41亿|3.83亿|4.48亿
营业总收入同比增长(%)|-5.58|1.95|-6.33|13.17|19.18|1.65|15.49|-6.15|2.59
归属净利润同比增长(%)|--|-282.02|-62.83|35.49|55.28|-42.36|85.39|-20.31|-46.88
扣非净利润同比增长(%)|--|--|-111.04|59.58|61.65|-59.06|93.61|-14.29|-57.21
营业总收入滚动环比增长(%)|-7.17|0.31|-1.50|3.76|5.45|5.16|2.33|2.32|-0.28
归属净利润滚动环比增长(%)|--|-401.22|-23.31|13.26|-2.36|-10.78|10.80|3.18|-28.78
扣非净利润滚动环比增长(%)|--|--|-151.04|31.59|9.31|-30.94|13.66|27.76|-39.96
加权净资产收益率(%)|0.82|-5.91|3.12|11.26|10.58|7.69|14.33|8.30|11.21
摊薄净资产收益率(%)|0.82|-6.11|3.11|8.42|10.19|7.55|13.41|8.26|10.79
摊薄总资产收益率(%)|0.38|-3.09|0.51|2.76|2.60|2.13|4.31|2.94|4.13
毛利率(%)|10.56|8.65|11.61|9.59|11.15|13.60|16.20|14.82|13.23
净利率(%)|0.36|-2.84|0.48|2.31|1.84|1.58|2.77|1.73|2.05
实际税率(%)|-92.21|--|-14.70|9.48|15.03|5.60|9.93|8.46|11.51
预收款/营业收入|0.01|0.02|0.01|0.02|0.02|0.05|0.03|0.03|0.02
销售现金流/营业收入|0.71|0.55|0.57|0.77|0.84|0.74|0.69|0.59|0.50
经营现金流/营业收入|0.00|-0.07|-0.14|-0.01|0.08|0.05|0.07|0.10|-0.02
总资产周转率(次)|1.04|1.09|1.05|1.19|1.41|1.35|1.56|1.70|2.01
应收账款周转天数(天)|27.91|26.08|23.72|18.25|9.64|5.13|4.06|3.64|3.44
存货周转天数(天)|20.72|14.54|18.34|17.70|13.77|15.46|14.82|18.52|23.45
资产负债率(%)|68.75|71.10|65.74|68.57|74.03|72.64|70.36|68.58|60.08
流动负债/总负债(%)|84.40|80.61|85.29|89.61|87.63|89.63|87.93|85.98|89.41
流动比率|0.86|0.91|0.94|1.03|0.87|0.81|0.85|0.84|0.86
速动比率|0.75|0.84|0.88|0.93|0.79|0.74|0.77|0.74|0.68
