基本每股收益(元)|0.5000|0.9300|1.4000|1.8800|1.1200|0.1800|0.2300|0.0300|0.6000
扣非每股收益(元)|-0.0100|0.1300|1.0100|1.7300|0.4700|-0.2800|-0.0200|-0.2100|0.2700
稀释每股收益(元)|0.5000|0.9300|1.4000|1.8800|--|--|--|--|0.0000
每股净资产(元)|19.1954|18.8049|18.7338|17.3965|11.7506|10.2446|9.2221|9.0043|8.9700
每股公积金(元)|8.9917|8.9894|8.9710|8.9701|4.1647|4.1584|2.9915|2.9803|2.9770
每股未分配利润(元)|7.7182|7.5136|7.0509|5.9521|5.2924|4.2968|4.4650|4.3021|4.3198
每股经营现金流(元)|5.4033|4.5903|2.3341|-0.6765|1.5517|0.0154|1.0349|2.3599|2.5422
营业总收入(元)|1277亿|1301亿|1059亿|1035亿|800亿|582亿|529亿|469亿|489亿
毛利润(元)|193亿|192亿|188亿|196亿|122亿|80.9亿|69.1亿|55.9亿|74.2亿
归属净利润(元)|16.1亿|27.8亿|40.7亿|50.5亿|28.2亿|4.34亿|5.53亿|8138万|13.8亿
扣非净利润(元)|2.31亿|5.86亿|29.9亿|46.1亿|12.1亿|-6.77亿|-5693万|-4.84亿|6.29亿
营业总收入同比增长(%)|-1.78|22.79|2.36|29.32|37.48|10.09|12.83|-4.05|0.78
归属净利润同比增长(%)|-41.93|-31.63|-19.51|78.94|551.28|-21.61|579.63|-94.12|-45.13
扣非净利润同比增长(%)|-60.64|-80.39|-35.26|282.34|--|--|--|-176.91|-69.62
营业总收入滚动环比增长(%)|-5.31|7.52|1.25|-0.81|20.71|6.65|0.79|-1.68|4.24
归属净利润滚动环比增长(%)|-42.90|-0.78|-2.70|11.62|40.75|-9.09|5.23|-92.27|212.12
扣非净利润滚动环比增长(%)|-82.77|-31.34|-4.23|10.31|501.28|--|--|-1700.08|--
加权净资产收益率(%)|2.62|4.96|7.76|12.91|10.22|1.84|2.58|0.38|6.98
摊薄净资产收益率(%)|2.84|5.04|7.39|9.86|8.74|1.71|2.55|0.38|6.55
摊薄总资产收益率(%)|1.09|1.91|3.04|4.21|3.00|0.87|1.07|0.32|2.69
毛利率(%)|16.29|16.40|19.01|20.36|16.87|15.55|15.36|14.30|17.18
净利率(%)|1.66|2.73|4.64|5.30|3.92|1.27|1.47|0.45|3.27
实际税率(%)|12.84|18.91|12.52|16.57|17.31|15.34|6.76|26.77|7.66
预收款/营业收入|0.00|0.00|0.04|0.02|0.03|0.06|0.02|0.06|0.04
销售现金流/营业收入|0.84|0.80|0.89|0.85|1.01|0.95|1.04|1.16|1.05
经营现金流/营业收入|0.12|0.10|0.06|-0.02|0.05|0.00|0.05|0.12|0.12
总资产周转率(次)|0.65|0.70|0.66|0.79|0.76|0.68|0.73|0.70|0.82
应收账款周转天数(天)|131.36|140.01|159.15|110.10|79.35|66.31|47.49|45.13|40.12
存货周转天数(天)|87.37|76.49|78.17|72.37|69.63|66.66|62.62|62.49|58.46
资产负债率(%)|68.00|68.81|66.33|61.81|68.80|69.26|67.46|64.86|63.46
流动负债/总负债(%)|81.20|87.07|88.87|87.35|83.20|81.43|80.96|80.62|80.13
流动比率|0.99|0.99|0.98|1.00|0.82|0.77|0.68|0.61|0.64
速动比率|0.75|0.76|0.79|0.78|0.58|0.58|0.48|0.41|0.44
