基本每股收益(元)|0.3200|0.3900|0.5300|0.5096|0.3939|0.1000|0.1500|0.1324|0.0155
扣非每股收益(元)|0.3000|0.3500|0.5000|0.4756|0.3719|0.0455|0.0700|0.0305|-0.0281
稀释每股收益(元)|0.3200|0.3900|0.5300|0.5096|0.3939|0.1000|0.1500|0.1324|0.0155
每股净资产(元)|4.6679|4.3824|3.5200|4.2845|3.8148|2.7504|2.7139|2.5723|2.3000
每股公积金(元)|1.6323|1.6599|1.6606|1.4822|1.4829|0.7210|0.8780|0.8474|0.7107
每股未分配利润(元)|2.0254|1.7392|1.5092|1.7599|1.2808|0.7758|0.7321|0.6315|0.5129
每股经营现金流(元)|0.9633|0.2628|0.6123|0.6013|1.0115|0.2073|0.1639|0.1369|0.2579
营业总收入(元)|1705亿|1662亿|1607亿|1354亿|937亿|864亿|4.27亿|7.60亿|9.20亿
毛利润(元)|162亿|166亿|151亿|116亿|83.6亿|70.6亿|1.01亿|1.14亿|1.16亿
归属净利润(元)|26.0亿|32.6亿|38.9亿|28.0亿|19.9亿|16.0亿|5274万|4632万|542万
扣非净利润(元)|24.7亿|29.2亿|36.4亿|26.2亿|18.8亿|1594万|2382万|1066万|-982万
营业总收入同比增长(%)|2.58|3.40|18.67|44.53|8.50|-13.09|-43.73|-17.42|-11.01
归属净利润同比增长(%)|-20.16|-16.27|38.58|40.97|24.01|-35.84|13.85|754.90|-60.74
扣非净利润同比增长(%)|-15.16|-19.91|39.00|39.33|34.18|-33.07|123.40|--|--
营业总收入滚动环比增长(%)|1.49|-1.66|1.80|15.07|6.88|33.88|-1.50|-13.52|-5.24
归属净利润滚动环比增长(%)|10.65|-21.21|4.79|2.01|--|-31.93|73.37|-0.21|-67.44
扣非净利润滚动环比增长(%)|16.09|-12.83|-5.06|4.51|50.38|-20.58|48.36|-3.80|--
加权净资产收益率(%)|6.99|9.08|15.05|12.58|11.41|3.52|5.72|5.43|0.68
摊薄净资产收益率(%)|6.83|8.80|10.99|11.89|9.48|3.51|5.55|5.15|0.67
摊薄总资产收益率(%)|2.34|2.87|3.64|3.24|5.48|2.37|3.94|3.18|0.39
毛利率(%)|9.84|10.31|9.72|8.84|9.23|19.56|24.17|15.29|12.97
净利率(%)|1.94|2.39|2.80|2.25|2.26|9.18|12.55|6.40|0.73
实际税率(%)|27.09|24.40|21.63|23.46|21.55|4.74|11.38|9.66|54.80
预收款/营业收入|0.01|0.02|0.02|0.02|0.02|0.00|0.00|0.00|0.00
销售现金流/营业收入|1.18|1.22|1.20|1.21|1.22|1.13|0.89|0.99|0.97
经营现金流/营业收入|0.05|0.01|0.03|0.02|0.06|0.20|0.13|0.06|0.10
总资产周转率(次)|1.20|1.20|1.30|1.44|2.42|0.26|0.31|0.50|0.54
应收账款周转天数(天)|6.20|6.32|6.86|6.33|3.44|100.57|48.09|46.31|58.61
存货周转天数(天)|45.13|45.46|40.26|42.81|29.56|39.80|69.00|39.20|27.45
资产负债率(%)|68.49|67.36|67.29|74.32|71.11|36.01|30.91|33.03|52.37
流动负债/总负债(%)|82.54|80.02|75.02|77.24|89.99|24.66|14.57|16.11|38.13
流动比率|1.08|1.12|1.21|0.99|0.98|2.05|7.84|6.18|2.66
速动比率|0.85|0.85|0.96|0.75|0.69|1.88|7.15|5.04|2.49
